paper_id,file_name,num_pages,num_words
2023_44_article,2023_44_article.pdf,10,8423
2023_45_article,2023_45_article.pdf,12,8352
2023_46_article,2023_46_article.pdf,13,7209
2023_47_article,2023_47_article.pdf,14,8245
2023_48_article,2023_48_article.pdf,17,11325
2023_49_article,2023_49_article.pdf,17,11537
2023_50_article,2023_50_article.pdf,19,13576
2025_01_article,2025_01_article.pdf,14,10999
2025_02_article,2025_02_article.pdf,18,10185
2025_03_article,2025_03_article.pdf,20,8930
2025_04_article,2025_04_article.pdf,48,20248
2025_05_article,2025_05_article.pdf,19,12600
2025_06_article,2025_06_article.pdf,10,5680
2026_01_article,2026_01_article.pdf,23,17684
2026_02_article,2026_02_article.pdf,12,7702
